time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1712625490074692000,-7.227307861328125,176.53227615356445,-1,-1,40.456692795200105,210.94227600097656,-1,35,2.4832065105438232,-86.93347722255794,-1
1712625497430393000,0.12839306640625,176.53227615356445,-1,-1,40.456692795200105,210.94227600097656,-1,35,2.4832065105438232,-86.93347722255794,-1
1712625500451769900,3.149769775390625,176.53227615356445,-1,-1,40.456661760734065,210.94227600097656,-1,35,2.487499952316284,-86.933424863901,-1
1712625505526767600,8.224767578125,176.9505615234375,2.4100000858306885,36.720930883780696,40.45668204784436,211.3605613708496,213.75,19.86420525112294,3,-86.93346530207147,0.9300000071525574
1712625506526765800,9.224765869140626,176.88214111328125,2.5199999809265137,38.43083459154754,40.456726220474074,211.29214096069336,232.03125,22.550783134300264,3,-86.93349136979033,4.050000190734863
1712625507527016700,10.2250166015625,176.87567138671875,1.8700000047683716,45.31977704880074,40.456757065877746,211.28567123413086,246.4453125,20.962219662963953,3,-86.9335192815279,4.050000190734863
1712625508527013600,11.225013671875,176.687255859375,1.9600000381469727,36.97310146793757,40.45656528793318,211.0972557067871,155.390625,28.743041616877044,3,-86.93342641004075,3.309999942779541
1712625508999998500,11.69799853515625,177.1123046875,2.3399999141693115,64.9285978728416,40.45635255523068,211.5223045349121,192.65625,12.149970218078648,3,-86.93363511942972,2.5199999809265137
1712625509999997700,12.697997802734376,177.1121826171875,1.9700000286102295,69.37935404169703,40.45641596432817,211.5221824645996,200.0390625,9.185629357571251,3,-86.9335071277683,1.8300000429153442
1712625510999995600,13.69799560546875,177.127685546875,1.3600000143051147,89.31628007799237,40.45650292657358,211.5376853942871,171.5625,7.2089886058572255,3,-86.93342850551655,0.3799999952316284
1712625511999995100,14.6979951171875,177.3465576171875,1.100000023841858,87.46408303924666,40.45650317803067,211.7565574645996,137.109375,5.51808176815228,3,-86.93343722269584,0.3799999952316284
1712625512999995100,15.6979951171875,177.0921630859375,1.149999976158142,81.96472890825422,40.45652752745939,211.5021629333496,346.640625,5.4307532651402415,3,-86.93344996318866,0.3799999952316284
1712625513999998500,16.69799853515625,177.0921631185338,1.2857390604063716,-1,40.45652752745958,211.5021629659459,-1,5.4307532651402415,3,-86.93344996318866,0.3799999952316284
1712625514999998200,17.697998291015626,176.7584228841588,1.2521980727310837,-1,40.456543872170755,211.1684227315709,-1,4.824554128831048,3.247801485738948,-86.93344778389384,0.18000000715255737
1712625515999981800,18.69798193359375,176.49041751306504,1.5876082160440372,-1,40.456518349275605,210.90041736047715,-1,5.830978589049141,2.9999999999999996,-86.93343990490486,0
1712625516999939300,19.697939208984376,176.49041751306504,1.9006578341868363,-1,40.456518349275605,210.90041736047715,-1,6.038039395246775,3.0000000000001914,-86.93343990490486,0
1712625517999936000,20.69793603515625,176.49041751306504,1.9006578341868363,-1,40.456518349275605,210.90041736047715,-1,4.992744143265029,3.1217288359680286,-86.93343990490486,0
1712625518999939000,21.69793896484375,176.49041751306504,1.2857390604063716,-1,40.456518349275605,210.90041736047715,-1,4.996129385103495,3.119950648339991,-86.93343990490486,0
1712625519999945500,22.697945556640626,176.49041751306504,1.1068536595247989,-1,40.456518349275605,210.90041736047715,-1,4.842828190108479,3.220489427692546,-86.93343990490486,0
1712625520999951000,23.697951171875,176.49041751306504,1.6211493369993626,-1,40.456518349275605,210.90041736047715,-1,4.849658280687096,3.210194946315864,-86.93343990490486,0
1712625521999954000,24.697953857421876,176.49041751306504,1.6211493369993626,-1,40.456518349275605,210.90041736047715,-1,4.434581879602302,4.0005911150949816,-86.93343990490486,0
1712625522999957500,25.69795751953125,175.03088382072747,0.40249225194356664,-1,40.45650636315406,209.44088366813958,-1,4.3342034040960655,4.014868482121813,-86.93340218634059,0
1712625523999960000,26.6979599609375,175.03088382072747,0.44721360216395983,-1,40.45650636315406,209.44088366813958,-1,4.327408149266873,4.017560121964874,-86.93340218634059,0
1712625524999961300,27.69796142578125,175.03088382072747,0.48075462315925704,-1,40.45650636315406,209.44088366813958,-1,4.288386925987552,4.032900483757568,-86.93340218634059,0
1712625525999963600,28.697963623046874,174.7438965169713,0.503115281609449,-1,40.45650774616808,209.1538963643834,-1,4.623292734391957,3.5284134288526015,-86.93340537146379,0
1712625526999965700,29.697965576171875,174.7656250325963,0.307972206397111,-1,40.45650795571565,209.1756248800084,-1,4.606563143774163,3.5502271807886236,-86.93340922713925,0
1712625527999966000,30.697966064453126,174.84942630212754,0.5813776528251393,-1,40.45650942254871,209.25942614953965,-1,4.604750476986505,3.5525779481218143,-86.93341123879601,0
1712625528999968000,31.697968017578123,174.75219729728997,0.5478366651498515,-1,40.4565096320963,209.16219714470208,-1,4.60475047777295,3.552577947102445,-86.93341425628115,0
1712625529999968500,32.69796850585937,174.7293701497838,0.4360332396188545,-1,40.456511098929354,209.1393699971959,-1,4.604750476558407,3.5525779486767015,-86.9334172737663,0
1712625530999969800,33.6979697265625,174.90570071619004,0.39131188939846134,-1,40.45651231430533,209.31570056360215,-1,4.60475047580628,3.552577949651587,-86.9334204588895,0
1712625531999970600,34.69797045898437,174.95947268698364,0.31304951818277094,-1,40.456512984857575,209.36947253439575,-1,4.604750475983465,3.5525779494219245,-86.93342381165077,0
1712625532999970800,35.697970703125,175.1495361654088,0.5478366651498515,-1,40.45651403259546,209.5595360128209,-1,4.6047504751248205,3.5525779505348747,-86.9334259909456,0
