time,seconds_elapsed,dBFS
1712792279160000000,0,-120
1712792279160000000,0,-120
1712792279160000000,0,-120
1712792279160000000,0,-120
1712792279160000000,0,-50.17323303222656
1712792279160000000,0,-44.406219482421875
1712792279160000000,0,-46.465511322021484
1712792279160000000,0,-48.61909484863281
1712792279160000000,0,-49.38640594482422
1712792279160000000,0,-51.67481994628906
1712792279160000000,0,-54.56203079223633
1712792279160000000,0,-58.27920913696289
1712792279160000000,0,-59.79062271118164
1712792279160000000,0,-60.53007507324219
1712792279160000000,0,-59.01749801635742
1712792279160000000,0,-59.01749801635742
1712792279160000000,0,-59.01749801635742
1712792279160000000,0,-59.777984619140625
1712792279160000000,0,-61.80927658081055
1712792279160000000,0,-58.8406982421875
1712792279160000000,0,-60.376319885253906
1712792279160000000,0,-62.41080093383789
1712792279160000000,0,-43.722957611083984
1712792279160000000,0,-41.91466522216797
1712792279160000000,0,-47.33849334716797
1712792279160000000,0,-50.763790130615234
1712792279160000000,0,-44.57067108154297
1712792279160000000,0,-44.98298263549805
1712792279160000000,0,-47.37215805053711
1712792279160000000,0,-40.266239166259766
1712792279160000000,0,-34.0374755859375
1712792279160000000,0,-34.724212646484375
1712792279160000000,0,-36.78598403930664
1712792279160000000,0,-40.024375915527344
1712792279160000000,0,-42.68457794189453
1712792279160000000,0,-44.169891357421875
1712792279160000000,0,-46.803611755371094
1712792279160000000,0,-47.78374481201172
1712792279160000000,0,-50.320899963378906
1712792279160000000,0,-51.46485137939453
1712792279160000000,0,-51.5759162902832
1712792279160000000,0,-54.304046630859375
1712792279160000000,0,-52.251556396484375
1712792279160000000,0,-37.08600997924805
1712792279160000000,0,-38.98881912231445
1712792279160000000,0,-43.56498718261719
1712792279160000000,0,-43.3675422668457
1712792279160000000,0,-37.06909942626953
1712792279160000000,0,-41.026206970214844
1712792279160000000,0,-43.963104248046875
1712792279160000000,0,-48.237186431884766
1712792279160000000,0,-50.24338150024414
1712792279160000000,0,-48.825984954833984
1712792279160000000,0,-52.00886154174805
1712792279160000000,0,-53.74266815185547
1712792279160000000,0,-42.53655242919922
1712792279160000000,0,-44.66200256347656
1712792279160000000,0,-45.55904769897461
1712792279160000000,0,-48.85206985473633
1712792279160000000,0,-40.80278015136719
1712792279160000000,0,-46.134544372558594
1712792279160000000,0,-49.10878372192383
1712792279160000000,0,-53.224082946777344
1712792279160000000,0,-55.05592727661133
1712792279160000000,0,-57.762081146240234
1712792279160000000,0,-59.01702880859375
1712792279160000000,0,-56.75250244140625
1712792279160000000,0,-57.818050384521484
1712792279160000000,0,-57.91071319580078
1712792279160000000,0,-58.09546661376953
1712792279160000000,0,-59.286766052246094
1712792279160000000,0,-60.607627868652344
1712792279160000000,0,-52.783721923828125
1712792279160000000,0,-44.105072021484375
1712792279160000000,0,-47.35213088989258
1712792279160000000,0,-51.30631637573242
1712792279160000000,0,-53.91503143310547
1712792279160000000,0,-55.367652893066406
1712792279160000000,0,-56.87765121459961
1712792279160000000,0,-58.37025451660156
1712792279160000000,0,-59.92074203491211
1712792279160000000,0,-46.504695892333984
1712792279160000000,0,-51.1571044921875
1712792279160000000,0,-53.856666564941406
1712792279160000000,0,-56.29744338989258
1712792279160000000,0,-58.838523864746094
1712792279160000000,0,-59.7197380065918
1712792279160000000,0,-47.80815887451172
1712792279160000000,0,-34.58662414550781
1712792279160000000,0,-40.11678695678711
1712792279160000000,0,-43.87791061401367
1712792279160000000,0,-47.4652214050293
1712792279160000000,0,-52.46000289916992
1712792279160000000,0,-55.43575668334961
1712792279160000000,0,-59.112430572509766
1712792279160000000,0,-60.87553405761719
1712792279160000000,0,-62.115089416503906
1712792279160000000,0,-62.49982833862305
1712792279160000000,0,-62.36424255371094
1712792279160000000,0,-62.81000900268555
1712792279160000000,0,-63.287471771240234
1712792279160000000,0,-61.48508834838867
1712792279160000000,0,-61.95340347290039
1712792279160000000,0,-62.18748092651367
1712792279160000000,0,-62.96084976196289
1712792279160000000,0,-49.252567291259766
1712792279160000000,0,-51.82630157470703
1712792279160000000,0,-53.62668991088867
1712792279160000000,0,-50.44462966918945
1712792279160000000,0,-53.25492858886719
1712792279160000000,0,-57.06361770629883
1712792279160000000,0,-58.84130859375
1712792279160000000,0,-60.76470184326172
1712792279160000000,0,-61.166011810302734
1712792279160000000,0,-61.64263916015625
1712792279160000000,0,-62.71031188964844
1712792279160000000,0,-63.002933502197266
1712792279160000000,0,-63.48820495605469
1712792279160000000,0,-62.65456771850586
1712792279160000000,0,-56.03573989868164
1712792279160000000,0,-58.72630310058594
1712792279160000000,0,-59.88999938964844
1712792279160000000,0,-61.16682052612305
1712792279160000000,0,-61.49894332885742
1712792279160000000,0,-55.839195251464844
1712792279160000000,0,-56.535831451416016
1712792279160000000,0,-51.93873596191406
1712792279160000000,0,-54.34171676635742
1712792279160000000,0,-56.568538665771484
1712792279160000000,0,-58.44569778442383
1712792279160000000,0,-59.04624938964844
1712792279160000000,0,-60.006710052490234
1712792279160000000,0,-61.360225677490234
1712792279160000000,0,-59.10934829711914
1712792279160000000,0,-60.08759307861328
1712792279160000000,0,-60.90876770019531
1712792279160000000,0,-56.324771881103516
1712792279160000000,0,-57.06049728393555
1712792279160000000,0,-58.32246017456055
1712792279160000000,0,-53.35231018066406
1712792279160000000,0,-49.435829162597656
1712792279160000000,0,-45.16191864013672
1712792279160000000,0,-38.7302360534668
1712792279160000000,0,-42.09309387207031
1712792279160000000,0,-44.86680603027344
1712792279160000000,0,-37.96607208251953
1712792279160000000,0,-40.98537063598633
1712792279160000000,0,-45.77861022949219
1712792279160000000,0,-48.666378021240234
1712792279160000000,0,-50.588050842285156
1712792279160000000,0,-52.75273895263672
1712792279160000000,0,-54.07245635986328
1712792279160000000,0,-42.34491729736328
1712792279160000000,0,-45.066917419433594
1712792279160000000,0,-45.20545196533203
1712792279160000000,0,-43.24707794189453
1712792279160000000,0,-46.65264892578125
1712792279160000000,0,-47.632835388183594
1712792279160000000,0,-51.85014724731445
1712792279160000000,0,-54.3818359375
1712792279160000000,0,-56.31224060058594
1712792279160000000,0,-58.697471618652344
1712792279160000000,0,-60.1045036315918
1712792279160000000,0,-61.52463150024414
1712792279160000000,0,-58.15674591064453
1712792279160000000,0,-60.010841369628906
1712792279160000000,0,-60.29218292236328
