time,seconds_elapsed,dBFS
1710791185440000000,5.229,-21.241628646850586
1710791185558000000,5.347000244140625,-22.52077293395996
1710791185674000000,5.462999755859375,-22.864341735839844
1710791185775000000,5.564,-23.739044189453125
1710791185874000000,5.662999755859375,-22.74333381652832
1710791185975000000,5.764,-22.454118728637695
1710791186075000000,5.864,-24.295560836791992
1710791186175000000,5.964,-23.21217155456543
1710791186275000000,6.064,-23.68824005126953
1710791186375000000,6.164,-24.044462203979492
1710791186475000000,6.264,-21.401857376098633
1710791186576000000,6.365,-23.848047256469727
1710791186676000000,6.465,-22.998489379882812
1710791186775000000,6.564,-21.540922164916992
1710791186876000000,6.665,-23.550006866455078
1710791186977000000,6.766,-20.283838272094727
1710791187076000000,6.865,-22.09864616394043
1710791187176000000,6.965,-19.973201751708984
1710791187293000000,7.082,-22.95252227783203
1710791187393000000,7.182,-20.3970947265625
1710791187493000000,7.282,-20.864667892456055
1710791187593000000,7.382,-21.174104690551758
1710791187694000000,7.483000244140625,-21.780494689941406
1710791187794000000,7.582999755859375,-24.068647384643555
1710791187894000000,7.683000244140625,-21.76310157775879
1710791187994000000,7.782999755859375,-23.34621810913086
1710791188094000000,7.883000244140625,-20.86948013305664
1710791188211000000,8,-20.743974685668945
1710791188312000000,8.101,-22.637195587158203
1710791188429000000,8.218,-21.122631072998047
1710791188528000000,8.317,-22.890100479125977
1710791188645000000,8.434,-21.675796508789062
1710791188748000000,8.537,-23.110445022583008
1710791188863000000,8.652,-23.718246459960938
1710791188963000000,8.752,-20.93036460876465
1710791189063000000,8.852,-22.734786987304688
1710791189163000000,8.952,-21.730224609375
1710791189263000000,9.052,-23.93448257446289
1710791189364000000,9.153,-21.758392333984375
1710791189464000000,9.253,-21.514301300048828
1710791189564000000,9.353,-22.475414276123047
1710791189665000000,9.454,-20.982845306396484
1710791189781000000,9.57,-23.13433074951172
1710791189882000000,9.670999755859375,-20.621952056884766
1710791189998000000,9.787000244140625,-22.917695999145508
1710791190098000000,9.886999755859375,-22.2288761138916
1710791190198000000,9.987000244140624,-23.949451446533203
1710791190298000000,10.086999755859376,-24.14324188232422
1710791190398000000,10.187000244140625,-23.311279296875
1710791190498000000,10.286999755859375,-24.498088836669922
1710791190598000000,10.387000244140625,-20.678287506103516
1710791190699000000,10.488,-22.770511627197266
1710791190799000000,10.588,-23.28713607788086
1710791190899000000,10.688,-19.266956329345703
1710791190999000000,10.788,-21.65899085998535
1710791191099000000,10.888,-20.7189998626709
1710791191199000000,10.988,-23.104949951171875
1710791191299000000,11.088,-21.855756759643555
1710791191400000000,11.189,-18.8948974609375
1710791191500000000,11.289,-21.091407775878906
1710791191600000000,11.389,-22.78459930419922
1710791191700000000,11.489,-21.666481018066406
1710791191800000000,11.589,-21.4313907623291
1710791191901000000,11.69,-21.465194702148438
1710791192001000000,11.79,-22.08902359008789
1710791192101000000,11.89,-23.20267105102539
1710791192201000000,11.99,-22.701547622680664
1710791192305000000,12.094,-24.31293296813965
1710791192418000000,12.206999755859375,-24.196462631225586
1710791192518000000,12.307000244140625,-22.844623565673828
1710791192635000000,12.424,-21.509618759155273
1710791192735000000,12.524,-24.295520782470703
1710791192835000000,12.624,-23.4765682220459
1710791192935000000,12.724,-22.57296371459961
1710791193036000000,12.825,-23.292863845825195
1710791193136000000,12.925,-23.861352920532227
1710791193236000000,13.025,-20.732919692993164
1710791193341000000,13.13,-22.190704345703125
1710791193453000000,13.242,-23.68513298034668
1710791193553000000,13.342,-22.73912239074707
1710791193653000000,13.442,-23.46125030517578
1710791193770000000,13.558999755859375,-23.47296142578125
1710791193870000000,13.659000244140625,-24.418081283569336
1710791193970000000,13.758999755859374,-22.589014053344727
