time,seconds_elapsed,dBFS
1710819132535000000,0.037,-74.97254943847656
1710819132631000000,0.133,-70.80267333984375
1710819132731000000,0.233,-60.77407455444336
1710819132831000000,0.333,-60.54349136352539
1710819132932000000,0.434,-61.54130172729492
1710819133033000000,0.535,-56.17533874511719
1710819133133000000,0.635,-57.639137268066406
1710819133233000000,0.735,-53.82997512817383
1710819133333000000,0.835,-54.84885787963867
1710819133433000000,0.935,-56.42949676513672
1710819133534000000,1.036000244140625,-53.489112854003906
1710819133634000000,1.135999755859375,-54.39414978027344
1710819133734000000,1.236000244140625,-56.18439865112305
1710819133834000000,1.335999755859375,-54.39805221557617
1710819133934000000,1.436000244140625,-55.47623825073242
1710819134035000000,1.537,-54.09596633911133
1710819134134000000,1.636000244140625,-55.20413589477539
1710819134235000000,1.737,-52.382076263427734
1710819134335000000,1.837,-52.86673355102539
1710819134435000000,1.937,-53.622108459472656
1710819134536000000,2.038,-51.589317321777344
1710819134636000000,2.138,-52.255313873291016
1710819134736000000,2.238,-53.48466491699219
1710819134836000000,2.338,-49.76963424682617
1710819134936000000,2.438,-51.58633041381836
1710819135036000000,2.538,-50.95397186279297
1710819135136000000,2.638,-50.77637481689453
1710819135236000000,2.738,-50.90654373168945
1710819135337000000,2.839,-49.237552642822266
1710819135436000000,2.938,-51.17594528198242
1710819135537000000,3.039,-48.55424880981445
1710819135637000000,3.139,-50.872528076171875
1710819135738000000,3.239999755859375,-50.71781539916992
1710819135838000000,3.340000244140625,-51.326988220214844
1710819135938000000,3.439999755859375,-50.82627487182617
1710819136038000000,3.540000244140625,-46.50371551513672
1710819136138000000,3.639999755859375,-49.23381042480469
1710819136238000000,3.740000244140625,-50.64565658569336
1710819136339000000,3.841,-45.86949157714844
1710819136439000000,3.941,-46.01152801513672
1710819136540000000,4.042,-48.82137680053711
1710819136656000000,4.158,-50.06776809692383
1710819136756000000,4.258,-49.47515106201172
1710819136856000000,4.358,-50.158843994140625
1710819136957000000,4.459,-48.345272064208984
1710819137057000000,4.559,-50.218631744384766
1710819137157000000,4.659,-50.78022003173828
1710819137273000000,4.775,-48.79269790649414
1710819137374000000,4.876000244140625,-48.261260986328125
1710819137491000000,4.993,-49.69060516357422
1710819137607000000,5.109,-50.40096664428711
1710819137708000000,5.21,-52.14234161376953
1710819137807000000,5.309,-53.7664909362793
1710819137908000000,5.41,-46.00648498535156
1710819138008000000,5.51,-48.3852653503418
1710819138108000000,5.61,-48.12508773803711
1710819138208000000,5.71,-50.596920013427734
1710819138308000000,5.81,-49.62820816040039
1710819138408000000,5.91,-49.59841537475586
1710819138509000000,6.011,-50.61555099487305
1710819138609000000,6.111,-48.68596267700195
1710819138709000000,6.211,-50.44765090942383
1710819138809000000,6.311,-43.3566780090332
1710819138910000000,6.412000244140625,-43.8245735168457
1710819139010000000,6.511999755859375,-45.53795623779297
1710819139110000000,6.612000244140625,-47.482872009277344
1710819139210000000,6.711999755859375,-47.579559326171875
1710819139310000000,6.812000244140625,-50.06028747558594
1710819139411000000,6.913,-48.26057815551758
1710819139510000000,7.012000244140625,-46.9017219543457
1710819139610000000,7.111999755859375,-49.27948760986328
1710819139711000000,7.213,-47.03750228881836
1710819139811000000,7.313,-48.68081283569336
1710819139911000000,7.413,-50.53884506225586
1710819140012000000,7.514,-52.138755798339844
1710819140112000000,7.614,-49.12590789794922
1710819140212000000,7.714,-51.097530364990234
1710819140312000000,7.814,-46.15169143676758
1710819140412000000,7.914,-46.94097900390625
1710819140512000000,8.014,-50.09328079223633
1710819140612000000,8.114,-48.142208099365234
1710819140713000000,8.215,-50.13731384277344
1710819140813000000,8.315,-51.285037994384766
1710819140913000000,8.415,-47.61372375488281
1710819141013000000,8.515,-47.183223724365234
1710819141114000000,8.615999755859375,-48.96538162231445
1710819141214000000,8.716000244140625,-51.12721252441406
1710819141314000000,8.815999755859375,-48.7353515625
1710819141414000000,8.916000244140625,-48.27887725830078
1710819141514000000,9.015999755859376,-48.931312561035156
1710819141614000000,9.116000244140626,-45.257171630859375
1710819141714000000,9.215999755859375,-47.61350631713867
1710819141814000000,9.316000244140625,-50.291160583496094
1710819141914000000,9.415999755859374,-47.02981948852539
1710819142015000000,9.517,-49.13862991333008
1710819142115000000,9.617,-47.079769134521484
1710819142215000000,9.717,-49.56553649902344
1710819142315000000,9.817,-46.5079460144043
1710819142415000000,9.917,-47.969696044921875
1710819142515000000,10.017,-48.86061477661133
1710819142616000000,10.118,-46.55280685424805
1710819142716000000,10.218,-48.28962707519531
1710819142816000000,10.318,-47.33515930175781
1710819142917000000,10.419,-49.19387435913086
1710819143033000000,10.535,-46.998287200927734
1710819143133000000,10.635,-45.25634765625
1710819143234000000,10.735999755859375,-47.289833068847656
1710819143334000000,10.836000244140624,-48.3511962890625
1710819143434000000,10.935999755859376,-40.299964904785156
1710819143534000000,11.036000244140626,-38.726478576660156
1710819143644000000,11.146,-42.59203338623047
1710819143751000000,11.253,-44.17202377319336
1710819143852000000,11.354,-45.33379364013672
1710819143952000000,11.454,-47.29267501831055
1710819144052000000,11.554,-49.49003982543945
1710819144152000000,11.654,-49.74275207519531
1710819144252000000,11.754,-50.950016021728516
1710819144353000000,11.855,-52.60905075073242
1710819144469000000,11.971,-51.38377380371094
1710819144570000000,12.071999755859375,-48.32613754272461
1710819144680000000,12.182,-51.24270248413086
1710819144786000000,12.287999755859374,-53.06727981567383
1710819144887000000,12.389,-49.271976470947266
1710819144987000000,12.489,-51.71027374267578
1710819145087000000,12.589,-52.72455596923828
1710819145187000000,12.689,-51.165706634521484
1710819145288000000,12.79,-52.36721420288086
1710819145388000000,12.89,-53.568763732910156
1710819145488000000,12.99,-54.973777770996094
1710819145589000000,13.091,-50.239234924316406
1710819145705000000,13.207,-51.66203689575195
1710819145805000000,13.307,-52.72686767578125
1710819145905000000,13.407,-53.98371124267578
1710819146005000000,13.507,-50.31592559814453
1710819146106000000,13.607999755859375,-51.082279205322266
1710819146206000000,13.708000244140624,-52.06443405151367
1710819146306000000,13.807999755859376,-51.311309814453125
1710819146406000000,13.908000244140625,-50.690345764160156
1710819146506000000,14.007999755859375,-52.223655700683594
1710819146606000000,14.108000244140625,-53.69074249267578
1710819146707000000,14.209,-52.31072998046875
1710819146807000000,14.309,-53.1678352355957
1710819146907000000,14.409,-54.613765716552734
1710819147007000000,14.509,-53.36487579345703
1710819147107000000,14.609,-47.892791748046875
1710819147207000000,14.709,-50.501102447509766
1710819147308000000,14.81,-50.88941192626953
1710819147408000000,14.91,-52.85853958129883
1710819147508000000,15.01,-51.144168853759766
1710819147608000000,15.11,-51.117576599121094
1710819147708000000,15.21,-52.67034912109375
1710819147808000000,15.31,-47.184410095214844
1710819147909000000,15.411,-49.683372497558594
1710819148009000000,15.511,-51.126529693603516
1710819148109000000,15.611,-52.22579574584961
1710819148209000000,15.711,-54.12609100341797
1710819148310000000,15.812000244140625,-48.693111419677734
1710819148410000000,15.911999755859375,-50.369449615478516
1710819148510000000,16.012000244140626,-51.78919982910156
1710819148611000000,16.113,-49.814674377441406
1710819148727000000,16.229,-51.45576095581055
1710819148827000000,16.329,-47.21369171142578
1710819148927000000,16.429,-48.90988540649414
1710819149027000000,16.529,-50.743526458740234
1710819149128000000,16.63,-51.90656661987305
1710819149228000000,16.73,-51.454200744628906
1710819149328000000,16.83,-53.15781784057617
1710819149428000000,16.93,-52.051483154296875
1710819149528000000,17.03,-50.955448150634766
1710819149629000000,17.131,-49.413902282714844
1710819149729000000,17.231,-51.73835754394531
1710819149829000000,17.331,-52.61907958984375
1710819149929000000,17.431,-50.92005920410156
1710819150029000000,17.531,-53.11550521850586
1710819150130000000,17.631999755859376,-53.12955093383789
1710819150230000000,17.732000244140625,-52.219154357910156
1710819150330000000,17.831999755859375,-53.312564849853516
1710819150430000000,17.932000244140625,-49.8609504699707
1710819150530000000,18.031999755859374,-50.533912658691406
1710819150630000000,18.132000244140624,-49.79863739013672
1710819150731000000,18.233,-52.19546127319336
1710819150831000000,18.333,-52.228755950927734
1710819150930000000,18.431999755859376,-52.04689025878906
1710819151031000000,18.533,-52.69841003417969
1710819151131000000,18.633,-54.355777740478516
1710819151232000000,18.734,-54.317176818847656
1710819151332000000,18.834,-48.606807708740234
1710819151432000000,18.934,-49.039207458496094
1710819151532000000,19.034,-51.632728576660156
1710819151633000000,19.135,-49.876731872558594
1710819151732000000,19.234,-50.640174865722656
1710819151833000000,19.335,-46.63763427734375
1710819151933000000,19.435,-48.90167999267578
1710819152033000000,19.535,-49.976219177246094
1710819152133000000,19.635,-52.8132438659668
1710819152233000000,19.735,-46.120147705078125
1710819152334000000,19.836000244140624,-48.211456298828125
1710819152434000000,19.935999755859374,-50.24696731567383
1710819152534000000,20.036000244140624,-49.772090911865234
1710819152634000000,20.135999755859373,-51.36201095581055
1710819152734000000,20.236000244140627,-53.023677825927734
1710819152835000000,20.337,-54.37925720214844
1710819152951000000,20.453,-51.893516540527344
1710819153051000000,20.553,-53.616539001464844
1710819153152000000,20.654,-51.23540115356445
1710819153252000000,20.754,-52.753299713134766
1710819153352000000,20.854,-54.711666107177734
1710819153453000000,20.955,-53.842777252197266
1710819153553000000,21.055,-53.66608428955078
1710819153653000000,21.155,-52.47846984863281
1710819153753000000,21.255,-49.416656494140625
1710819153853000000,21.355,-45.744083404541016
1710819153953000000,21.455,-47.64082717895508
1710819154054000000,21.556000244140623,-50.67820358276367
1710819154154000000,21.655999755859376,-47.628543853759766
1710819154254000000,21.756000244140626,-49.560691833496094
1710819154354000000,21.855999755859376,-51.57743453979492
1710819154454000000,21.956000244140625,-51.107906341552734
1710819154554000000,22.055999755859375,-51.53404998779297
1710819154654000000,22.156000244140625,-51.29556655883789
1710819154755000000,22.257,-48.54861831665039
1710819154855000000,22.357,-46.31818389892578
1710819154955000000,22.457,-48.453495025634766
1710819155055000000,22.557,-50.71855545043945
1710819155155000000,22.657,-52.751399993896484
1710819155256000000,22.758,-53.83790969848633
1710819155356000000,22.858,-54.56294631958008
1710819155456000000,22.958,-51.30318832397461
1710819155556000000,23.058,-52.79011154174805
1710819155656000000,23.158,-53.66646957397461
