time,seconds_elapsed,dBFS
1712533192126000000,2.44140625e-7,-120
1712533192126000000,2.44140625e-7,-120
1712533192126000000,2.44140625e-7,-120
1712533192126000000,2.44140625e-7,-120
1712533192126000000,2.44140625e-7,-120
1712533192126000000,2.44140625e-7,-120
1712533192126000000,2.44140625e-7,-46.1721076965332
1712533192126000000,2.44140625e-7,-46.48710632324219
1712533192126000000,2.44140625e-7,-43.404815673828125
1712533192126000000,2.44140625e-7,-44.5573844909668
1712533192126000000,2.44140625e-7,-47.48553466796875
1712533192126000000,2.44140625e-7,-49.77641296386719
1712533192126000000,2.44140625e-7,-54.069156646728516
1712533192126000000,2.44140625e-7,-56.61592483520508
1712533192126000000,2.44140625e-7,-58.2711067199707
1712533192126000000,2.44140625e-7,-58.93246841430664
1712533192126000000,2.44140625e-7,-60.10130310058594
1712533192126000000,2.44140625e-7,-59.76483917236328
1712533192126000000,2.44140625e-7,-57.31117248535156
1712533192126000000,2.44140625e-7,-60.8535041809082
1712533192126000000,2.44140625e-7,-62.08329391479492
1712533192126000000,2.44140625e-7,-62.863040924072266
1712533192126000000,2.44140625e-7,-58.77004623413086
1712533192126000000,2.44140625e-7,-54.12372970581055
1712533192126000000,2.44140625e-7,-54.12372970581055
1712533192126000000,2.44140625e-7,-54.12372970581055
1712533192126000000,2.44140625e-7,-54.12372970581055
1712533192126000000,2.44140625e-7,-54.83821487426758
1712533192126000000,2.44140625e-7,-32.31401824951172
1712533192126000000,2.44140625e-7,-35.620094299316406
1712533192126000000,2.44140625e-7,-37.43938064575195
1712533192126000000,2.44140625e-7,-39.73467254638672
1712533192126000000,2.44140625e-7,-34.754783630371094
1712533192126000000,2.44140625e-7,-37.03129196166992
1712533192126000000,2.44140625e-7,-41.097476959228516
1712533192126000000,2.44140625e-7,-32.59912109375
1712533192126000000,2.44140625e-7,-33.81841278076172
1712533192126000000,2.44140625e-7,-36.335994720458984
1712533192126000000,2.44140625e-7,-37.9201774597168
1712533192126000000,2.44140625e-7,-37.91267776489258
1712533192126000000,2.44140625e-7,-38.001399993896484
1712533192126000000,2.44140625e-7,-40.19482421875
1712533192126000000,2.44140625e-7,-37.61477279663086
1712533192126000000,2.44140625e-7,-39.64268493652344
