time,seconds_elapsed,bpm
1712533198761497000,6.6354970703125,112
1712533202761497000,10.6354970703125,111
1712533204761497000,12.6354970703125,113
1712533210761497000,18.6354970703125,117
1712533216761497000,24.6354970703125,118
1712533219761497000,27.6354970703125,116
1712533228761497000,36.6354970703125,116
1712533233761497000,41.6354970703125,118
1712533235761497000,43.6354970703125,117
1712533240761497000,48.6354970703125,113
1712533248761497000,56.6354970703125,116
1712533253761497000,61.6354970703125,116
1712533258761497000,66.6354970703125,117
1712533260761497000,68.6354970703125,118
1712533264761497000,72.6354970703125,119
1712533269761497000,77.6354970703125,116
1712533278761497000,86.6354970703125,115
1712533282761497000,90.6354970703125,115
1712533288761497000,96.6354970703125,117
1712533293761497000,101.6354970703125,117
1712533296761497000,104.6354970703125,118
1712533303761497000,111.6354970703125,121
1712533306761497000,114.6354970703125,121
1712533313761497000,121.6354970703125,119
1712533315761497000,123.6354970703125,118
1712533322761497000,130.6354970703125,115
1712533328761497000,136.6354970703125,120
1712533333761497000,141.6354970703125,121
1712533334761497000,142.6354970703125,121
1712533343761497000,151.6354970703125,118
1712533345761497000,153.6354970703125,119
1712533353761497000,161.6354970703125,119
1712533354761497000,162.6354970703125,119
1712533363761497000,171.6354970703125,120
1712533366761497000,174.6354970703125,120
1712533369761497000,177.6354970703125,121
1712533376761497000,184.6354970703125,121
1712533383761497000,191.6354970703125,122.99999999999999
1712533386761497000,194.6354970703125,122.99999999999999
1712533391761497000,199.6354970703125,124.00000000000001
1712533397761497000,205.6354970703125,124.00000000000001
1712533401761497000,209.6354970703125,124.00000000000001
1712533405761497000,213.6354970703125,122.99999999999999
1712533409761497000,217.6354970703125,125.00000000000001
1712533414761497000,222.6354970703125,129
1712533422761497000,230.6354970703125,124.00000000000001
1712533426761497000,234.6354970703125,128
1712533432761497000,240.6354970703125,132
1712533438761497000,246.6354970703125,130
1712533442761497000,250.6354970703125,131
1712533448761497000,256.6354970703125,131
1712533449761497000,257.6354970703125,131
1712533454761497000,262.6354970703125,132
1712533463761497000,271.6354970703125,136
1712533467761497000,275.6354970703125,134
1712533473761497000,281.6354970703125,135
1712533477761497000,285.6354970703125,135
1712533483761497000,291.6354970703125,136
1712533486761497000,294.6354970703125,137
1712533489761497000,297.6354970703125,138
1712533496761497000,304.6354970703125,140
1712533501761497000,309.6354970703125,140
1712533508761497000,316.6354970703125,142
1712533511761497000,319.6354970703125,142
1712533514761497000,322.6354970703125,142
1712533523761497000,331.6354970703125,140
1712533528761497000,336.6354970703125,142
1712533529761497000,337.6354970703125,143
1712533534761497000,342.6354970703125,143
1712533543761497000,351.6354970703125,148
1712533548761497000,356.6354970703125,149
1712533552761497000,360.6354970703125,150
1712533558761497000,366.6354970703125,150
1712533562761497000,370.6354970703125,150
1712533564761497000,372.6354970703125,151
1712533569761497000,377.6354970703125,150
1712533577761497000,385.6354970703125,149
1712533583761497000,391.6354970703125,149
1712533584761497000,392.6354970703125,149
1712533593761497000,401.6354970703125,150
1712533595761497000,403.6354970703125,150
1712533603761497000,411.6354970703125,152
1712533606761497000,414.6354970703125,152
1712533610761497000,418.6354970703125,152
1712533618761497000,426.6354970703125,153
1712533620761497000,428.6354970703125,152
1712533625761497000,433.6354970703125,152
1712533630761497000,438.6354970703125,153
1712533638761497000,446.6354970703125,153
1712533642761497000,450.6354970703125,153
1712533648761497000,456.6354970703125,154.00000000000003
1712533652761497000,460.6354970703125,153
1712533658761497000,466.6354970703125,152
1712533659761497000,467.6354970703125,152
1712533667761497000,475.6354970703125,149
1712533669761497000,477.6354970703125,148
1712533678761497000,486.6354970703125,147
1712533679761497000,487.6354970703125,147
1712533687761497000,495.6354970703125,146
1712533690761497000,498.6354970703125,147
1712533698761497000,506.6354970703125,140
1712533702761497000,510.6354970703125,137
1712533708761497000,516.6354970703125,136
1712533710761497000,518.6354970703125,135
1712533717761497000,525.6354970703125,136
1712533721761497000,529.6354970703125,136
1712533725761497000,533.6354970703125,138
1712533729761497000,537.6354970703125,138
1712533736761497000,544.6354970703125,142
1712533741761497000,549.6354970703125,140
1712533747761497000,555.6354970703125,140
1712533753761497000,561.6354970703125,138
1712533758761497000,566.6354970703125,139.00000000000003
1712533760761497000,568.6354970703125,139.00000000000003
1712533765761497000,573.6354970703125,142
1712533770761497000,578.6354970703125,143
1712533776761497000,584.6354970703125,141
1712533782761497000,590.6354970703125,139.00000000000003
1712533786761497000,594.6354970703125,138
1712533791761497000,599.6354970703125,138
1712533798761497000,606.6354970703125,143
1712533800761497000,608.6354970703125,142
1712533806761497000,614.6354970703125,139.00000000000003
1712533813761497000,621.6354970703125,138
1712533817761497000,625.6354970703125,137
1712533821761497000,629.6354970703125,138
