time,seconds_elapsed,type,isConnected,isInternetReachable,isWifiEnabled,isConnectionExpensive,ssid,bssid,strength,ipAddress,frequency,cellularGeneration,carrier
1708479861706000000,2.013999755859375,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479863709000000,4.017,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479865713000000,6.021,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479867716000000,8.024,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479869718000000,10.026000244140626,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479871721000000,12.029,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479873723000000,14.031,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479875725000000,16.033,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479877727000000,18.035,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479879729000000,20.037,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479881731000000,22.039,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479883735000000,24.043,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479885737000000,26.045,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479887741000000,28.049,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479889744000000,30.052,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479891747000000,32.055,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479893750000000,34.05800024414062,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479895754000000,36.061999755859375,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479897757000000,38.065,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479899760000000,40.068,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479901764000000,42.072,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479903768000000,44.076,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479905771000000,46.079,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479907774000000,48.08200024414062,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479909778000000,50.085999755859376,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479911781000000,52.089,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479913785000000,54.093,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479915788000000,56.096,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479917792000000,58.1,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479919797000000,60.105,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479921808000000,62.116,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479923802000000,64.10999975585938,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479925806000000,66.11400024414063,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479927809000000,68.117,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479929813000000,70.121,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
1708479931817000000,72.125,wifi,true,true,,false,PAL3.0,50:f:80:ea:12:f,,10.184.123.99,,,
