time,seconds_elapsed,dBFS
1712855396745000000,0,-76.80318450927734
1712855396745000000,0,-76.02178955078125
1712855396745000000,0,-77.39276123046875
1712855396745000000,0,-79.54532623291016
1712855396745000000,0,-79.41610717773438
1712855396745000000,0,-73.8296890258789
1712855396745000000,0,-75.53624725341797
1712855396745000000,0,-72.9479751586914
1712855396745000000,0,-65.59799194335938
1712855396745000000,0,-68.17800903320312
1712855396745000000,0,-69.72708892822266
1712855396745000000,0,-65.90437316894531
1712855396745000000,0,-67.33501434326172
1712855396745000000,0,-68.59751892089844
1712855396745000000,0,-67.82889556884766
1712855396745000000,0,-69.29342651367188
1712855396745000000,0,-68.03931427001953
1712855396745000000,0,-64.28274536132812
1712855396745000000,0,-63.60328674316406
1712855396745000000,0,-64.2280502319336
1712855396745000000,0,-65.58448791503906
1712855396745000000,0,-61.98238754272461
1712855396745000000,0,-63.587528228759766
1712855396745000000,0,-64.83992767333984
1712855396745000000,0,-64.84354400634766
1712855396745000000,0,-63.15550231933594
1712855396745000000,0,-64.50818634033203
1712855396745000000,0,-64.61128234863281
1712855396745000000,0,-61.81406784057617
1712855396745000000,0,-62.867733001708984
1712855396745000000,0,-60.96427536010742
1712855396745000000,0,-61.360591888427734
1712855396745000000,0,-62.60913848876953
1712855396745000000,0,-63.879981994628906
1712855396745000000,0,-63.590911865234375
1712855396745000000,0,-61.06156539916992
1712855396745000000,0,-62.95454406738281
1712855396745000000,0,-60.164527893066406
1712855396745000000,0,-61.5919075012207
1712855396745000000,0,-62.79789733886719
1712855396745000000,0,-59.136802673339844
1712855396745000000,0,-60.58990478515625
1712855396745000000,0,-60.28055953979492
1712855396745000000,0,-62.26285934448242
1712855396745000000,0,-62.80686950683594
1712855396745000000,0,-58.066383361816406
1712855396745000000,0,-57.851783752441406
1712855396745000000,0,-59.985008239746094
1712855396745000000,0,-60.7822265625
1712855396745000000,0,-59.432559967041016
1712855396745000000,0,-57.78514862060547
1712855396745000000,0,-53.095130920410156
1712855396745000000,0,-56.1526985168457
1712855396745000000,0,-58.32424545288086
1712855396745000000,0,-59.810909271240234
1712855396745000000,0,-57.65911865234375
1712855396745000000,0,-59.06358337402344
1712855396745000000,0,-60.57040786743164
1712855396745000000,0,-57.61435317993164
1712855396745000000,0,-58.77202606201172
1712855396745000000,0,-59.786224365234375
1712855396745000000,0,-57.31208038330078
1712855396745000000,0,-57.41901397705078
1712855396745000000,0,-57.541404724121094
1712855396745000000,0,-57.42707824707031
1712855396745000000,0,-59.69139099121094
1712855396745000000,0,-58.0643196105957
1712855396745000000,0,-59.65205383300781
1712855396745000000,0,-59.77742385864258
1712855396745000000,0,-58.66764831542969
1712855396745000000,0,-59.83137130737305
1712855396745000000,0,-58.699642181396484
1712855396745000000,0,-56.04351043701172
1712855396745000000,0,-57.74956130981445
1712855396745000000,0,-59.73463439941406
1712855396745000000,0,-60.47965621948242
1712855396745000000,0,-59.28245544433594
1712855396745000000,0,-57.50876998901367
1712855396745000000,0,-58.67667770385742
1712855396745000000,0,-60.022911071777344
1712855396745000000,0,-55.542022705078125
1712855396745000000,0,-56.28681564331055
1712855396745000000,0,-57.740509033203125
1712855396745000000,0,-57.91079330444336
1712855396745000000,0,-54.84260559082031
1712855396745000000,0,-50.88139724731445
1712855396745000000,0,-29.905879974365234
1712855396745000000,0,-28.925745010375977
1712855396745000000,0,-33.802738189697266
1712855396745000000,0,-38.38517379760742
1712855396745000000,0,-41.81143569946289
1712855396745000000,0,-45.15959548950195
1712855396745000000,0,-48.05020523071289
1712855396745000000,0,-50.25934600830078
1712855396745000000,0,-48.737552642822266
1712855396745000000,0,-45.241676330566406
1712855396745000000,0,-48.38838195800781
1712855396745000000,0,-48.44655227661133
1712855396745000000,0,-47.84221649169922
1712855396745000000,0,-36.54782485961914
1712855396745000000,0,-44.6723518371582
1712855396745000000,0,-47.71957015991211
1712855396745000000,0,-51.18844223022461
1712855396745000000,0,-50.702701568603516
1712855396745000000,0,-53.62797546386719
1712855396745000000,0,-56.17950439453125
1712855396745000000,0,-50.23453140258789
1712855396745000000,0,-50.61957931518555
1712855396745000000,0,-44.648170471191406
1712855396745000000,0,-48.32644271850586
1712855396745000000,0,-51.548583984375
1712855396745000000,0,-50.98863220214844
1712855396745000000,0,-53.0505485534668
1712855396745000000,0,-53.53627395629883
1712855396745000000,0,-54.388282775878906
1712855396745000000,0,-48.48075866699219
1712855396745000000,0,-50.23590850830078
1712855396745000000,0,-46.83285140991211
1712855396745000000,0,-48.7054557800293
1712855396745000000,0,-51.802955627441406
1712855396745000000,0,-54.10386657714844
1712855396745000000,0,-56.00709533691406
1712855396745000000,0,-53.965641021728516
1712855396745000000,0,-56.292232513427734
1712855396745000000,0,-58.10384750366211
1712855396745000000,0,-59.12804412841797
1712855396745000000,0,-57.29277420043945
