time,seconds_elapsed,bpm
1712855403548739800,6.80373974609375,78
1712855408548739800,11.80373974609375,76
1712855413548739800,16.80373974609375,79
1712855418548739800,21.80373974609375,80
1712855421548739800,24.80373974609375,78
1712855427548739800,30.80373974609375,74
1712855429548739800,32.80373974609375,73
1712855438548739800,41.80373974609375,68
1712855443548739800,46.80373974609375,68
1712855444548739800,47.80373974609375,68
1712855452548739800,55.80373974609375,67
1712855457548739800,60.80373974609375,67
1712855460548739800,63.80373974609375,67
1712855464548739800,67.80373974609375,66
1712855470548739800,73.80373974609375,67
1712855476548739800,79.80373974609375,68
1712855483548739800,86.80373974609375,69
1712855487548739800,90.80373974609375,71
1712855489548739800,92.80373974609375,72
1712855496548739800,99.80373974609375,73
1712855503548739800,106.80373974609375,76
1712855508548739800,111.80373974609375,76
1712855513548739800,116.80373974609375,76
1712855515548739800,118.80373974609375,76
1712855522548739800,125.80373974609375,79
1712855525548739800,128.80373974609375,77.00000000000001
1712855533548739800,136.80373974609375,74
1712855537548739800,140.80373974609375,72
1712855542548739800,145.80373974609375,72
1712855545548739800,148.80373974609375,72
1712855551548739800,154.80373974609375,72
1712855554548739800,157.80373974609375,72
1712855560548739800,163.80373974609375,71
1712855565548739800,168.80373974609375,69
1712855571548739800,174.80373974609375,67
1712855575548739800,178.80373974609375,66
1712855579548739800,182.80373974609375,66
1712855588548739800,191.80373974609375,64
1712855589548739800,192.80373974609375,64
1712855594548739800,197.80373974609375,65
1712855599548739800,202.80373974609375,66
1712855604548739800,207.80373974609375,67
1712855609548739800,212.80373974609375,67
1712855617548739800,220.80373974609375,65
1712855622548739800,225.80373974609375,64
1712855625548739800,228.80373974609375,63
1712855630548739800,233.80373974609375,63
1712855638548739800,241.80373974609375,64
1712855643548739800,246.80373974609375,63
1712855645548739800,248.80373974609375,63
1712855649548739800,252.80373974609375,64
1712855655548739800,258.80373974609375,65
1712855659548739800,262.80373974609375,64
1712855667548739800,270.80373974609375,67
1712855669548739800,272.80373974609375,67
1712855678548739800,281.80373974609375,70
1712855682548739800,285.80373974609375,71
1712855686548739800,289.80373974609375,71
1712855691548739800,294.80373974609375,69
1712855698548739800,301.80373974609375,67
1712855702548739800,305.80373974609375,67
1712855708548739800,311.80373974609375,67
1712855709548739800,312.80373974609375,67
1712855718548739800,321.80373974609375,73
1712855723548739800,326.80373974609375,73
1712855724548739800,327.80373974609375,73
1712855729548739800,332.80373974609375,74
1712855738548739800,341.80373974609375,69
1712855741548739800,344.80373974609375,69
1712855745548739800,348.80373974609375,68
1712855749548739800,352.80373974609375,68
1712855755548739800,358.80373974609375,67
1712855759548739800,362.80373974609375,66
1712855768548739800,371.80373974609375,65
1712855769548739800,372.80373974609375,65
1712855777548739800,380.80373974609375,65
1712855779548739800,382.80373974609375,65
1712855788548739800,391.80373974609375,67
1712855789548739800,392.80373974609375,67
1712855794548739800,397.80373974609375,65
1712855802548739800,405.80373974609375,67
1712855807548739800,410.80373974609375,67
1712855810548739800,413.80373974609375,66
1712855814548739800,417.80373974609375,67
1712855823548739800,426.80373974609375,71
1712855824548739800,427.80373974609375,71
1712855831548739800,434.80373974609375,70
1712855838548739800,441.80373974609375,65
1712855842548739800,445.80373974609375,67
1712855844548739800,447.80373974609375,67
1712855849548739800,452.80373974609375,66
1712855856548739800,459.80373974609375,68
1712855859548739800,462.80373974609375,67
1712855868548739800,471.80373974609375,62.00000000000001
1712855870548739800,473.80373974609375,62.00000000000001
1712855874548739800,477.80373974609375,62.00000000000001
1712855882548739800,485.80373974609375,66
1712855885548739800,488.80373974609375,68
1712855891548739800,494.80373974609375,70
1712855895548739800,498.80373974609375,70
1712855901548739800,504.80373974609375,69
1712855906548739800,509.80373974609375,68
1712855913548739800,516.8037397460937,66
1712855916548739800,519.8037397460937,66
1712855919548739800,522.8037397460937,66
1712855926548739800,529.8037397460937,65
1712855929548739800,532.8037397460937,64
1712855934548739800,537.8037397460937,64
1712855942548739800,545.8037397460937,65
1712855944548739800,547.8037397460937,66
1712855949548739800,552.8037397460937,69
1712855958548739800,561.8037397460937,65
1712855961548739800,564.8037397460937,64
1712855968548739800,571.8037397460937,61
1712855971548739800,574.8037397460937,61
1712855975548739800,578.8037397460937,62.00000000000001
1712855979548739800,582.8037397460937,63
1712855984548739800,587.8037397460937,68
1712855993548739800,596.8037397460937,81
1712855998548739800,601.8037397460937,84
1712856003548739800,606.8037397460937,82
1712856008548739800,611.8037397460937,77.00000000000001
1712856013548739800,616.8037397460937,74
1712856018548739800,621.8037397460937,72
1712856019548739800,622.8037397460937,71
1712856027548739800,630.8037397460937,75
1712856029548739800,632.8037397460937,74
1712856038548739800,641.8037397460937,69
1712856043548739800,646.8037397460937,67
1712856044548739800,647.8037397460937,66
1712856050548739800,653.8037397460937,65
1712856054548739800,657.8037397460937,65
1712856061548739800,664.8037397460937,67
1712856068548739800,671.8037397460937,68
1712856069548739800,672.8037397460937,68
1712856078548739800,681.8037397460937,68
1712856081548739800,684.8037397460937,68
1712856087548739800,690.8037397460937,67
1712856093548739800,696.8037397460937,66
1712856095548739800,698.8037397460937,65
1712856099548739800,702.8037397460937,65
1712856108548739800,711.8037397460937,66
1712856113548739800,716.8037397460937,65
1712856117548739800,720.8037397460937,66
1712856123548739800,726.8037397460937,66
1712856127548739800,730.8037397460937,66
1712856129548739800,732.8037397460937,66
1712856134548739800,737.8037397460937,67
