Feature,Importance
0,0.10694642380797159
1,0.11353697892865852
2,0.045696296067612226
3,0.026069512590329413
4,0.03500668818667209
5,0.06153926301570486
6,0.0791391884691294
7,0.023009693812200624
8,0.022042723541822004
9,0.009451584069122854
10,0.028023301904559126
11,0.012350430103078913
12,0.017041817296475335
13,0.015288026833994538
14,0.013728128323869939
15,0.019583436389837904
16,0.012002815532522174
17,0.028017175033867747
18,0.02397804538864969
19,0.02168977521419156
20,0.015098655460504208
21,0.023569676171896474
22,0.014008983535911379
23,0.015640877211662605
24,0.01667355445131947
25,0.014160028227052911
26,0.02340147123337634
27,0.012591674092569064
28,0.021269384899704574
29,0.01307599900432991
30,0.018355598621483313
31,0.013955055693387777
32,0.01395349039402114
33,0.014062502426941525
34,0.00916356305943809
35,0.009417023438786028
36,0.0127347216262477
37,0.01036208815412007
38,0.008242732809158663
39,0.006121614977818459
