Feature,Importance
0,0.10290369715712662
1,0.12117548042527099
2,0.051732342081437545
3,0.030853560091245333
4,0.03876797192558499
5,0.06475507896272954
6,0.06818355636954185
7,0.022776689662375667
8,0.020806797069997832
9,0.008893988360858633
10,0.028107249355975465
11,0.011866677975116141
12,0.020280070287364216
13,0.01257677753918904
14,0.02163004625333047
15,0.024758238310680854
16,0.01460953775617681
17,0.024216280995433496
18,0.021583568632324045
19,0.01824858228639102
20,0.01195020339138004
21,0.02378342450741512
22,0.017168102321102826
23,0.012726434989271887
24,0.017303913475703876
25,0.01149567026281583
26,0.021643751358539597
27,0.00914392132597108
28,0.01808722736741206
29,0.009430208566451898
30,0.022319773749306604
31,0.0136769402084678
32,0.011139832473114588
33,0.011329778729192991
34,0.012901893469851761
35,0.009762699287810714
36,0.011076088565217905
37,0.011445932914587183
38,0.009214914435160298
39,0.0056730971030754165
