Feature,Importance
0,0.12290395857538448
1,0.09930910406518416
2,0.043627334199185755
3,0.02951475009882241
4,0.04836508311489224
5,0.05354410193530712
6,0.0680361239291155
7,0.021701392856820004
8,0.02262741591766316
9,0.010596430779046848
10,0.027135049791391298
11,0.010455756773262225
12,0.015578011945172228
13,0.015491293620253421
14,0.014049026338923395
15,0.02004768877905415
16,0.012195336461635228
17,0.02828886668132639
18,0.0240471250060783
19,0.021338605567309984
20,0.018141587319388607
21,0.027917132055291838
22,0.014900644797386552
23,0.016848799354787527
24,0.018809082222598583
25,0.01274478995533404
26,0.018946536212134046
27,0.014285510650827282
28,0.016866008843090752
29,0.013283402083696778
30,0.015112959660841445
31,0.014275399885955883
32,0.012396081139983941
33,0.014763520028036579
34,0.010123211633767263
35,0.01231503317202342
36,0.012391053550718536
37,0.009262080619837488
38,0.01117336553882896
39,0.006591344839642242
