Feature,Importance
0,0.10546946886292882
1,0.1209172294825147
2,0.03354038675390179
3,0.029120560498147364
4,0.03569594794337617
5,0.07043099851451443
6,0.0641294054009736
7,0.02282708317534678
8,0.026611668839173767
9,0.010210130344019415
10,0.027722200620797263
11,0.010556927938005011
12,0.020956548272578705
13,0.01233712393640683
14,0.01453389679361813
15,0.017839050361274623
16,0.013996131210689971
17,0.03214973234498022
18,0.020682001174246237
19,0.018286605180431313
20,0.013847403300917884
21,0.02618331600790729
22,0.015137198840920449
23,0.01780971408441108
24,0.017775974953318226
25,0.012867407354962446
26,0.018210730761280332
27,0.012946413158839211
28,0.021286469420574404
29,0.012732434994945294
30,0.0168206822336851
31,0.011929931729825807
32,0.013077604948014758
33,0.01584762597613611
34,0.009244009038903007
35,0.013070789925115501
36,0.013831017468158315
37,0.012186815995990554
38,0.010711351335007618
39,0.0064700108231614565
