time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1708384245467073000,0.586072998046875,156.55157852172852,-1,-1,40.42761901848791,190.96157836914062,-1,53.04618082886188,2.413254737854004,-86.9225098078754,-1
1708384246700107000,1.81910693359375,156.55157852172852,-1,-1,40.427614369905925,190.96157836914062,-1,53.70144681045915,2.5517210960388184,-86.92250043341072,-1
1708384252725077200,7.8440771484375,156.55157852172852,-1,-1,40.42759446442248,190.96157836914062,-1,67.71917443654422,2.6173017024993896,-86.92249106195747,-1
1708384253189467000,8.308466796875,156.55157852172852,-1,-1,40.42759659393741,190.96157836914062,-1,67.79675180817785,2.4199013710021973,-86.92247714056703,-1
1708384254441557000,9.560556884765624,156.55157852172852,-1,-1,40.42759615592322,190.96157836914062,-1,68.36151264726385,2.5554959774017334,-86.9224649627078,-1
1708384264433085000,19.5520849609375,158.10596084594727,-1,-1,40.4275991105807,192.51596069335938,-1,68.45156018052975,2.640780448913574,-86.92245444953558,-1
1708384268435286000,23.5542861328125,155.88201904296875,3.7699999809265137,40.92370678953504,40.42778878942172,190.29201889038086,146.6015625,89.15238464976807,3,-86.92225174055147,0
1708384269435899100,24.554899169921875,155.88201904296875,2.4200000762939453,40.92370678953504,40.42778878942172,190.29201889038086,146.6015625,38.58864672718137,3,-86.92225174055147,0
1708384270435430100,25.55443017578125,155.8741455078125,2.3499999046325684,40.92370678953504,40.4279071418945,190.2841453552246,146.6015625,40.02615042525212,3,-86.92240923651207,0
1708384271433495000,26.5524951171875,155.8741455078125,2.450000047683716,40.92370678953504,40.4279071418945,190.2841453552246,146.6015625,44.13551780596656,3,-86.92240923651207,0
1708384272435487000,27.554487060546876,155.8741455078125,2.569999933242798,40.92370678953504,40.4279071418945,190.2841453552246,146.6015625,46.953847625583386,3,-86.92240923651207,0
1708384273435611100,28.554611083984376,155.8741455078125,6.119999885559082,40.92370678953504,40.4279071418945,190.2841453552246,146.6015625,51.63764654562936,3,-86.92240923651207,0
1708384275999958500,31.11895849609375,155.87414932250977,0.7024078768969091,-1,40.42789619399603,190.28414916992188,-1,200,3.0000412464141846,-86.92238556825149,0.0011133727215144366
1708384276999965000,32.11896484375,155.79412841796875,0.10999999940395355,40.92370678953504,40.427886061408024,190.20412826538086,146.6015625,120.22230533298311,4,-86.92245022401858,0
1708384277999970000,33.11896997070313,155.7941284487024,0.307972206397111,-1,40.42788606140821,190.2041282961145,-1,120.22230533298313,4.000000000000002,-86.92245022401858,0
